DATOS 1	 															
Semilla	77384109	 Archivo	 scen06	 Coste	159	 Tiempo	 0.796915									0
Semilla	77384109	 Archivo	 scen07	 Coste	573	 Tiempo	149.237									
Semilla	77384109	 Archivo	 scen08	 Coste	1534	 Tiempo	246.888									
Semilla	77384109	 Archivo	 scen09	 Coste	1005	 Tiempo	181.259									
Semilla	77384109	 Archivo	 scen10	 Coste	858	 Tiempo	178.134									
Semilla	77384109	 Archivo	 graph05	 Coste	218	 Tiempo	165.634									
Semilla	77384109	 Archivo	 graph06	 Coste	535	 Tiempo	10.938									
Semilla	77384109	 Archivo	 graph07	 Coste	620	 Tiempo	107.818									
Semilla	77384109	 Archivo	 graph11	 Coste	1369	 Tiempo	176.809									
Semilla	77384109	 Archivo	 graph12	 Coste	1329	 Tiempo	176.572									
																
Semilla	73841097	 Archivo	 scen06	 Coste	182	 Tiempo	 0.796915									
Semilla	73841097	 Archivo	 scen07	 Coste	643	 Tiempo	131.256									
Semilla	73841097	 Archivo	 scen08	 Coste	1768	 Tiempo	251.575									
Semilla	73841097	 Archivo	 scen09	 Coste	1135	 Tiempo	179.503									
Semilla	73841097	 Archivo	 scen10	 Coste	1085	 Tiempo	190.635									
Semilla	73841097	 Archivo	 graph05	 Coste	253	 Tiempo	 0.656282									
Semilla	73841097	 Archivo	 graph06	 Coste	536	 Tiempo	106.255									
Semilla	73841097	 Archivo	 graph07	 Coste	702	 Tiempo	107.818									
Semilla	73841097	 Archivo	 graph11	 Coste	1196	 Tiempo	170.321									
Semilla	73841097	 Archivo	 graph12	 Coste	1398	 Tiempo	182.822									
																
Semilla	38410977	 Archivo	 scen06	 Coste	201	 Tiempo	 0.73441									
Semilla	38410977	 Archivo	 scen07	 Coste	664	 Tiempo	131.257									
Semilla	38410977	 Archivo	 scen08	 Coste	1560	 Tiempo	251.575									
Semilla	38410977	 Archivo	 scen09	 Coste	1128	 Tiempo	403.146									
Semilla	38410977	 Archivo	 scen10	 Coste	1102	 Tiempo	182.822									
Semilla	38410977	 Archivo	 graph05	 Coste	243	 Tiempo	 0.609406									
Semilla	38410977	 Archivo	 graph06	 Coste	603	 Tiempo	106.256									
Semilla	38410977	 Archivo	 graph07	 Coste	589	 Tiempo	646.909									
Semilla	38410977	 Archivo	 graph11	 Coste	1248	 Tiempo	171.884									
Semilla	38410977	 Archivo	 graph12	 Coste	1365	 Tiempo	185.472									
																
Semilla	84109773	 Archivo	 scen06	 Coste	164	 Tiempo	 0.765662									
Semilla	84109773	 Archivo	 scen07	 Coste	620	 Tiempo	135.944									
Semilla	84109773	 Archivo	 scen08	 Coste	1552	 Tiempo	257.826									
Semilla	84109773	 Archivo	 scen09	 Coste	906	 Tiempo	289.764									
Semilla	84109773	 Archivo	 scen10	 Coste	987	 Tiempo	179.697									
Semilla	84109773	 Archivo	 graph05	 Coste	243	 Tiempo	 0.640655									
Semilla	84109773	 Archivo	 graph06	 Coste	579	 Tiempo	110.943									
Semilla	84109773	 Archivo	 graph07	 Coste	686	 Tiempo	104.693									
Semilla	84109773	 Archivo	 graph11	 Coste	1308	 Tiempo	168.758									
Semilla	84109773	 Archivo	 graph12	 Coste	1422	 Tiempo	181.259									
																
Semilla	41097738	 Archivo	 scen06	 Coste	212	 Tiempo	550.029									
Semilla	41097738	 Archivo	 scen07	 Coste	668	 Tiempo	134.382									
Semilla	41097738	 Archivo	 scen08	 Coste	1387	 Tiempo	248.502									
Semilla	41097738	 Archivo	 scen09	 Coste	1093	 Tiempo	179.697									
